MSOA21CD,JobAccess
E02000154,689428.5161
E02000155,790458.2971
E02000156,695722.7051
E02000157,616506.4087
E02000158,811793.1974
E02000159,751235.2042
E02000160,749820.4395
E02000161,657542.0828
E02000162,748690.3304
E02000163,844178.0441
E02000165,936909.6124
E02000166,1442891.223
E02000167,1594522.184
E02000168,1559101.034
E02000169,1559348.497
E02000170,1500194.122
E02000171,1478237.025
E02000172,1557056.665
E02000173,1594544.991
E02000174,1622115.224
E02000175,1644383.845
E02000176,1751729.077
E02000177,1638974.461
E02000178,1580359.787
E02000179,1671626.278
E02000180,1681373.255
E02000181,1608226.06
E02000182,1781910.099
E02000183,1757763.093
E02000184,1812681.046
E02000185,1637765.661
E02000186,2005300.442
E02000187,2148642.452
E02000188,2069765.071
E02000191,2316442.488
E02000192,2201001.315
E02000193,2296787.455
E02000194,844758.4249
E02000195,853469.0721
E02000196,992449.9938
E02000197,995586.831
E02000198,902606.4512
E02000199,870650.7255
E02000200,1002114.418
E02000201,1049150.306
E02000202,957101.5006
E02000203,958575.7902
E02000204,966949.0558
E02000206,1017784.548
E02000207,876347.8797
E02000208,915365.3118
E02000209,844545.9401
E02000210,852474.8574
E02000211,605921.7329
E02000212,965667.9748
E02000213,1130952.168
E02000214,912837.1394
E02000215,1143011.757
E02000216,1112904.421
E02000217,1052101.555
E02000218,550468.6219
E02000219,773089.111
E02000221,870939.8828
E02000222,952271.7785
E02000223,718203.6035
E02000224,998102.6047
E02000225,744284.106
E02000226,759931.9296
E02000227,690971.0725
E02000228,762229.0828
E02000229,750858.213
E02000230,840818.9345
E02000231,886581.645
E02000232,892312.4551
E02000233,769826.1861
E02000234,842504.6241
E02000235,769084.8287
E02000236,921532.2804
E02000237,732481.5125
E02000238,972888.481
E02000239,1049714.057
E02000240,989769.5568
E02000241,1133264.626
E02000242,1176129.637
E02000243,1116899.596
E02000244,1181148.661
E02000245,1135711.568
E02000246,1133644.191
E02000247,1019846.827
E02000248,1395160.781
E02000249,1014751.523
E02000250,1076214.24
E02000251,947578.1113
E02000252,1448071.588
E02000253,857062.8182
E02000254,941536.1474
E02000255,1027643.226
E02000256,1177430.032
E02000258,1357144.4
E02000259,1046927.233
E02000260,1022202.257
E02000261,1405828.735
E02000262,1397025.679
E02000263,1103365.506
E02000264,1490930.606
E02000265,1146412.649
E02000266,935029.3183
E02000267,1080211.216
E02000268,1279559.486
E02000269,1244047.004
E02000270,1434695.822
E02000271,1404926.469
E02000272,1174007.92
E02000275,1184337.807
E02000276,1378221.375
E02000277,1271398.732
E02000278,1175073.44
E02000279,1175928.576
E02000280,1161108.627
E02000281,1234108.579
E02000282,1057115.087
E02000283,1082335.346
E02000284,1024500.75
E02000285,1083517.053
E02000286,1111736.749
E02000287,1295689.989
E02000288,1074094.661
E02000289,1037209.464
E02000290,1163785.324
E02000291,997055.4015
E02000292,1064305.595
E02000293,903270.851
E02000294,1121543.904
E02000295,959181.865
E02000296,1094690.653
E02000297,976140.1571
E02000298,866126.9578
E02000299,901313.8086
E02000300,984552.0949
E02000301,878559.7466
E02000302,920965.1496
E02000303,1041918.312
E02000304,1077141.907
E02000305,955435.3277
E02000306,1053597.092
E02000307,983881.8367
E02000308,1231502.921
E02000309,1121673.24
E02000311,1004294.337
E02000312,1140610.237
E02000313,627961.8912
E02000314,657129.6268
E02000315,591134.1335
E02000317,1057914.312
E02000318,860716.5665
E02000319,810864.5263
E02000320,653341.1598
E02000321,904441.1876
E02000323,941418.1607
E02000324,1069194.626
E02000326,1163172.183
E02000327,949447.5292
E02000328,1181839.419
E02000329,615202.877
E02000331,1063714.158
E02000332,767703.4314
E02000333,1130199.308
E02000334,870885.0159
E02000335,825843.2162
E02000337,879995.6263
E02000339,919483.4977
E02000340,910367.1867
E02000341,874382.0127
E02000342,901423.856
E02000343,844399.5253
E02000344,855432.4014
E02000345,1307618.039
E02000346,1453237.53
E02000347,1318043.006
E02000348,1307543.45
E02000350,1266475.419
E02000351,1507390.08
E02000352,1364196.516
E02000353,1327889.02
E02000354,1283374.12
E02000355,1246370.227
E02000356,1361348.395
E02000357,1243705.056
E02000358,1409525.934
E02000359,1304550.559
E02000360,1455270.697
E02000361,1464420.138
E02000362,1471936.842
E02000363,1469176.319
E02000364,1445113.038
E02000366,1479738.763
E02000367,1511917.14
E02000368,1457724.302
E02000369,1530514.659
E02000370,1806089.809
E02000372,1514876.761
E02000373,1477934.503
E02000374,1462978.427
E02000375,1562011.803
E02000376,1517824.099
E02000377,1435856.821
E02000378,1622451.499
E02000379,1390781.288
E02000380,1524148.717
E02000381,1606665.891
E02000382,1501908.566
E02000383,1647191.767
E02000384,1586615.976
E02000385,1546698.343
E02000386,1568396.183
E02000387,1537302.585
E02000388,1555261.256
E02000389,1478128.726
E02000390,1411608.18
E02000391,1512711.265
E02000392,1479273.441
E02000393,1396943.682
E02000394,1432051.322
E02000395,1451610.811
E02000396,1414651.935
E02000397,1251547.429
E02000398,1243726.951
E02000400,1250780.48
E02000401,1120446.525
E02000402,1141584.979
E02000403,1210960.349
E02000404,1217868.483
E02000405,1142684.95
E02000406,1260731.744
E02000407,1306703.839
E02000408,1294371.438
E02000409,1191642.048
E02000410,1155302.75
E02000411,1346848.703
E02000412,1373134.395
E02000413,1206625.302
E02000414,1250509.999
E02000415,1291081.809
E02000416,1248002.272
E02000417,1285407.769
E02000418,1223662.184
E02000419,1354473.857
E02000420,1374444.388
